badgeNum,pName
57346,157th
40968,151th
53193,130th
32800,28th
50523,164th
98344,134th
94384,66th
49202,185th
73782,62th
16439,31th
98360,11th
32832,180th
81987,192th
57412,63th
41041,57th
65621,89th
49239,108th
16472,89th
41052,178th
16483,100th
65637,112th
32872,26th
41089,70th
32899,113th
32911,176th
73878,3rd
90279,19th
82105,43th
19101,149th
98498,21th
32967,1st
90318,39th
82129,37th
82135,89th
41180,51th
24798,42th
98553,148th
73986,104th
49411,45th
90373,89th
24841,52th
57611,145th
98576,80th
41238,140th
13921,133th
16673,86th
33061,141th
82215,112th
24878,82th
57650,19th
74038,37th
49466,144th
74050,195th
74075,49th
65887,78th
82272,58th
57712,192th
41331,96th
98677,151th
57718,121th
57720,117th
16767,27th
90499,5th
65933,58th
98714,75th
24990,50th
74150,25th
51953,172th
25000,158th
41388,125th
33208,47th
74171,163th
43765,50th
82370,150th
65991,44th
41420,154th
98765,29th
33230,27th
98772,129th
98781,42th
41438,80th
98785,88th
49634,140th
80635,133th
41455,35th
82420,63th
66047,9th
66057,138th
90635,158th
49685,65th
74270,14th
82496,172th
90694,119th
12385,58th
49744,21th
41553,1st
25173,73th
82524,99th
66145,54th
16994,108th
98925,126th
74350,175th
66160,123th
36968,186th
17010,96th
41595,130th
90751,14th
25216,146th
49796,184th
74379,66th
41614,84th
17044,69th
41625,107th
49821,131th
33444,93th
98985,106th
25267,111th
66234,139th
41662,178th
66255,36th
33498,191th
33508,142th
74472,28th
58089,98th
33518,133th
82687,188th
41733,109th
74506,53th
41740,163th
58126,53th
17170,165th
41747,74th
49943,135th
25378,61th
82723,146th
41769,151th
49977,73th
49978,115th
41796,49th
66375,172th
82764,44th
33614,10th
30182,166th
74602,2nd
82799,97th
66422,61th
74622,5th
33667,89th
99214,124th
58261,66th
91035,150th
91039,99th
25506,167th
99237,147th
33711,119th
50099,191th
33718,22th
41912,127th
17340,101th
41917,17th
58302,103th
41929,10th
62969,80th
66534,188th
17387,118th
66541,7th
50165,63th
91126,6th
99324,182th
17414,145th
58380,169th
99344,53th
74771,172th
53773,194th
99361,145th
50213,175th
23388,77th
74794,41th
58412,142th
82995,170th
66613,193th
17465,20th
42043,126th
42056,43th
83022,185th
99409,43th
99419,70th
17500,8th
66658,85th
97126,100th
17518,86th
17521,49th
42100,6th
66677,20th
37055,155th
83081,134th
33930,108th
91275,6th
74900,124th
66718,168th
58553,132th
25787,19th
74940,192th
99522,181th
66763,147th
68472,136th
50387,136th
50390,121th
31609,84th
17624,189th
91377,145th
91385,39th
99588,149th
34060,11th
17685,67th
42264,121th
61965,61th
50470,134th
50473,166th
50477,158th
17713,172th
99635,111th
90334,148th
34102,122th
50490,110th
42303,40th
58689,31th
76684,111th
17738,19th
25933,72th
58702,24th
34138,159th
66907,73th
17756,149th
50531,45th
25971,36th
17790,122th
27541,104th
58760,69th
12524,56th
66957,51th
91534,152th
75153,105th
34201,166th
99745,156th
17830,175th
34227,66th
67003,5th
91586,73th
42436,139th
17866,77th
26060,119th
17869,136th
42454,12th
26071,147th
75233,191th
67054,60th
99825,75th
83442,103th
83448,119th
42494,70th
83457,118th
58891,172th
58913,23th
83491,47th
50726,141th
26151,112th
26152,42th
94471,23th
17966,58th
67165,58th
20744,155th
91706,19th
83525,142th
50759,133th
17993,90th
18001,158th
80826,115th
34408,108th
99961,178th
91771,163th
99969,152th
34438,46th
42638,150th
34448,149th
59027,159th
59036,86th
67234,42th
67243,31th
50862,166th
42676,123th
83638,32th
34488,36th
74017,26th
26314,91th
50894,125th
83666,181th
42710,60th
43984,70th
50919,15th
83695,65th
34546,158th
75513,107th
59137,64th
18188,164th
59149,108th
10000,79th
26385,6th
34578,49th
50963,134th
50964,131th
26395,117th
10015,1st
26406,189th
10047,121th
75593,85th
67405,112th
51022,7th
34640,126th
75610,1st
34651,60th
26460,122th
83808,188th
10082,49th
59240,127th
83822,72th
10095,4th
26487,8th
75642,1st
42880,173th
51075,78th
59269,94th
59279,173th
26512,38th
26514,76th
42904,77th
67483,136th
18335,85th
92064,94th
26551,71th
51130,81th
51133,178th
51135,123th
34753,53th
42948,110th
18378,102th
18380,188th
10190,177th
84984,164th
26578,20th
75731,41th
59353,7th
34778,62th
34787,43th
51175,154th
92140,7th
72701,170th
59377,8th
94547,143th
44030,120th
42998,193th
