iNumber,reportNum
2172,4026
1943,4027
346,4024
2078,3725
340,5982
342,5983
814,5981
817,5984
2916,3995
713,3993
2857,3992
2856,3990
1702,4931
1705,4737
1060,2318
1063,2317
2315,4739
1066,2313
427,2310
1666,2311
290,3683
1128,5856
1129,5852
593,3681
199,3776
596,3775
270,4523
2829,3779
277,4655
278,4657
2543,4658
2381,2261
527,2267
523,2443
1403,2444
1402,4811
2261,4810
2266,2042
529,2043
2264,4815
1013,2048
2769,2638
448,2834
2446,3513
1338,3512
1232,3510
443,2685
2761,2687
446,2680
588,2681
104,2682
456,5406
902,4527
903,5181
2044,3202
2045,5185
2043,5188
904,5189
1842,3535
36,2861
2048,2863
1537,2867
643,3539
644,2744
439,3349
436,5451
2167,3340
2163,3346
2162,5456
330,4259
1908,4251
2481,4250
855,4254
857,5533
859,5532
2684,5530
2249,5536
90,5534
1991,5538
1624,5628
1999,4382
348,4381
2862,4380
2863,4387
559,4386
555,5621
550,4384
552,2032
2947,3830
2946,3832
237,3833
2942,5995
232,4030
1312,5997
1051,4032
1053,5993
2340,4036
2222,5999
2221,5998
1697,4734
1695,2309
1693,4729
1690,4725
1691,2300
146,2303
1176,3204
145,5843
1173,5841
1270,5849
1271,3748
1272,3747
1274,3744
1178,3745
1889,3740
1880,4621
2121,4624
2122,4627
2083,2272
2084,2279
2085,2278
2539,2458
684,2457
1571,2456
1570,2450
680,2050
1304,4539
2713,4829
2710,2058
2716,3692
1302,4537
130,4822
137,4531
627,4532
490,4533
492,3525
493,3521
24,3528
1836,2698
1835,2697
28,2695
1371,2691
1373,3672
2402,3673
402,3232
1376,3233
2015,3230
2017,3231
2011,3236
935,3235
2503,5195
1957,5194
1956,3238
1951,3239
1950,5190
1958,5193
371,5192
827,2872
826,2871
820,2870
377,2877
822,2876
2907,2875
2905,2874
2909,2879
703,3354
619,3350
176,3353
398,3352
2309,5448
1711,5441
1716,5445
799,4536
7,5506
1653,5507
1651,5504
585,5618
580,5619
1987,5613
1132,5610
1135,5616
246,5474
2831,3323
2830,3826
2578,3825
2575,3824
2279,3822
2278,2769
2570,3829
519,2768
2374,3585
2377,4283
1003,4281
2459,4286
625,4287
1220,5004
2455,3588
451,4758
454,4753
2453,4754
1875,4756
179,5872
1083,5873
172,5871
1879,5874
2055,5879
978,3758
2118,3751
1505,3750
1509,3757
2627,2190
1911,2193
1910,4637
869,2196
18,2199
863,4638
865,2429
866,2423
2020,3688
2698,4528
2694,4831
2691,4830
1968,4525
1618,4524
1616,4835
1617,4522
1471,4837
774,4836
776,2518
770,2510
2978,2512
1572,2734
2970,2737
2974,2732
2330,5296
2238,2738
2333,5291
2337,5058
1681,5059
1685,3537
686,5054
1265,3538
660,5051
2097,5052
2098,3229
1546,3222
1547,2847
691,2845
2521,2843
2520,3320
2488,5477
2486,3322
1549,5475
543,3324
547,5473
544,3326
1781,5275
1465,5277
1467,5271
2240,5272
1462,5273
1317,5278
11,5511
990,5515
1311,3035
1310,3037
2386,2994
999,4691
2469,5604
2840,5601
126,5600
1400,5603
1828,5135
1824,3293
2412,3812
2141,3811
2062,3815
419,3818
317,4299
315,4297
1922,4296
2768,4293
1925,4292
495,4749
1230,4748
2517,4743
831,4746
835,4744
2664,5869
2661,5868
2939,5867
2935,5866
2930,5861
380,5863
381,5862
385,4715
785,2183
787,2181
1643,2180
1642,2187
1722,2185
1721,4609
2292,4604
2191,4600
63,2211
155,2215
257,2439
2804,2433
255,2432
2154,4201
1588,4513
2205,4515
2206,2506
1426,2502
2560,2501
1039,2500
734,2727
2369,2724
2367,2721
2365,5281
1036,5280
500,5282
1035,2729
2428,5286
1359,5049
637,5043
465,3782
466,3783
39,3784
462,3785
1848,3788
1869,4996
162,4994
964,4992
965,4993
966,4990
2158,4991
2897,3258
1454,3251
1456,3253
1450,2859
1103,2853
1100,3333
1101,3332
2516,5463
1516,3330
1458,3336
1108,3335
1512,3334
2736,5468
2639,3339
2732,5187
2733,5266
2631,5265
2739,5264
254,5262
2034,2094
2168,5269
890,4574
893,2988
894,3027
896,2981
898,3023
434,2985
1978,3651
1086,4191
1600,5671
1974,5673
1604,5674
806,5676
359,5677
768,4354
2847,4355
766,4356
