reportNum,badgeNum
4026,57346
4027,40968
4024,53193
3725,32800
5982,50523
5983,98344
5981,94384
5984,49202
3995,73782
3993,16439
3992,98360
3990,32832
4931,81987
4737,57412
2318,41041
2317,65621
4739,49239
2313,16472
2310,41052
2311,16483
3683,65637
5856,32872
5852,41089
3681,32899
3776,32911
3775,73878
4523,90279
3779,82105
4655,19101
4657,98498
4658,32967
2261,90318
2267,82129
2443,82135
2444,41180
4811,24798
4810,98553
2042,73986
2043,49411
4815,90373
2048,24841
2638,57611
2834,98576
3513,41238
3512,13921
3510,16673
2685,33061
2687,82215
2680,24878
2681,57650
2682,74038
5406,49466
4527,74050
5181,74075
3202,65887
5185,82272
5188,57712
5189,41331
3535,98677
2861,57718
2863,57720
2867,16767
3539,90499
2744,65933
3349,98714
5451,24990
3340,74150
3346,51953
5456,25000
4259,41388
4251,33208
4250,74171
4254,43765
5533,82370
5532,65991
5530,41420
5536,98765
5534,33230
5538,98772
5628,98781
4382,41438
4381,98785
4380,49634
4387,80635
4386,41455
5621,82420
4384,66047
2032,66057
3830,90635
3832,49685
3833,74270
5995,82496
4030,90694
5997,12385
4032,49744
5993,41553
4036,25173
5999,82524
5998,66145
4734,16994
2309,98925
4729,74350
4725,66160
2300,36968
2303,17010
3204,41595
5843,90751
5841,25216
5849,49796
3748,74379
3747,41614
3744,17044
3745,41625
3740,49821
4621,33444
4624,98985
4627,25267
2272,66234
2279,41662
2278,66255
2458,33498
2457,33508
2456,74472
2450,58089
2050,33518
4539,82687
4829,41733
2058,74506
3692,41740
4537,58126
4822,17170
4531,41747
4532,49943
4533,25378
3525,82723
3521,41769
3528,49977
2698,49978
2697,41796
2695,66375
2691,82764
3672,33614
3673,30182
3232,74602
3233,82799
3230,66422
3231,74622
3236,33667
3235,99214
5195,58261
5194,91035
3238,91039
3239,25506
5190,99237
5193,33711
5192,50099
2872,33718
2871,41912
2870,17340
2877,41917
2876,58302
2875,41929
2874,62969
2879,66534
3354,17387
3350,66541
3353,50165
3352,91126
5448,99324
5441,17414
5445,58380
4536,99344
5506,74771
5507,53773
5504,99361
5618,50213
5619,23388
5613,74794
5610,58412
5616,82995
5474,66613
3323,17465
3826,42043
3825,42056
3824,83022
3822,99409
2769,99419
3829,17500
2768,66658
3585,97126
4283,17518
4281,17521
4286,42100
4287,66677
5004,37055
3588,83081
4758,33930
4753,91275
4754,74900
4756,66718
5872,58553
5873,25787
5871,74940
5874,99522
5879,66763
3758,68472
3751,50387
3750,50390
3757,31609
2190,17624
2193,91377
4637,91385
2196,99588
2199,34060
4638,17685
2429,42264
2423,61965
3688,50470
4528,50473
4831,50477
4830,17713
4525,99635
4524,90334
4835,34102
4522,50490
4837,42303
4836,58689
2518,76684
2510,17738
2512,25933
2734,58702
2737,34138
2732,66907
5296,17756
2738,50531
5291,25971
5058,17790
5059,27541
3537,58760
5054,12524
3538,66957
5051,91534
5052,75153
3229,34201
3222,99745
2847,17830
2845,34227
2843,67003
3320,91586
5477,42436
3322,17866
5475,26060
3324,17869
5473,42454
3326,26071
5275,75233
5277,67054
5271,99825
5272,83442
5273,83448
5278,42494
5511,83457
5515,58891
3035,58913
3037,83491
2994,50726
4691,26151
5604,26152
5601,94471
5600,17966
5603,67165
5135,20744
3293,91706
3812,83525
3811,50759
3815,17993
3818,18001
4299,80826
4297,34408
4296,99961
4293,91771
4292,99969
4749,34438
4748,42638
4743,34448
4746,59027
4744,59036
5869,67234
5868,67243
5867,50862
5866,42676
5861,83638
5863,34488
5862,74017
4715,26314
2183,50894
2181,83666
2180,42710
2187,43984
2185,50919
4609,83695
4604,34546
4600,75513
2211,59137
2215,18188
2439,59149
2433,10000
2432,26385
4201,34578
4513,50963
4515,50964
2506,26395
2502,10015
2501,26406
2500,10047
2727,75593
2724,67405
2721,51022
5281,34640
5280,75610
5282,34651
2729,26460
5286,83808
5049,10082
5043,59240
3782,83822
3783,10095
3784,26487
3785,75642
3788,42880
4996,51075
4994,59269
4992,59279
4993,26512
4990,26514
4991,42904
3258,67483
3251,18335
